btbuild	11	10	12	1	0	0	false	false	false	true	false	v	3	0	2281	2281 2281 2281					btbuild			
btbulkdelete	11	10	12	1	0	0	false	false	false	true	false	v	4	0	2281	2281 2281 2281 2281					btbulkdelete			
btvacuumcleanup	11	10	12	1	0	0	false	false	false	true	false	v	2	0	2281	2281 2281					btvacuumcleanup			
btcostestimate	11	10	12	1	0	0	false	false	false	true	false	v	8	0	2278	2281 2281 2281 2281 2281 2281 2281 2281					btcostestimate			
btoptions	11	10	12	1	0	0	false	false	false	true	false	s	2	0	17	1009 16					btoptions			
poly_same	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	604 604					poly_same			
poly_contain	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	604 604					poly_contain			
poly_left	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	604 604					poly_left			
poly_overleft	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	604 604					poly_overleft			
poly_overright	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	604 604					poly_overright			
poly_right	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	604 604					poly_right			
poly_contained	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	604 604					poly_contained			
poly_overlap	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	604 604					poly_overlap			
poly_in	11	10	12	1	0	0	false	false	false	true	false	i	1	0	604	2275					poly_in			
poly_out	11	10	12	1	0	0	false	false	false	true	false	i	1	0	2275	604					poly_out			
btint2cmp	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	21 21					btint2cmp			
btint4cmp	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	23 23					btint4cmp			
btint8cmp	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	20 20					btint8cmp			
btfloat4cmp	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	700 700					btfloat4cmp			
btfloat8cmp	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	701 701					btfloat8cmp			
btoidcmp	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	26 26					btoidcmp			
btoidvectorcmp	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	30 30					btoidvectorcmp			
btabstimecmp	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	702 702					btabstimecmp			
btcharcmp	11	10	12	1	0	0	false	false	false	true	false	i	2	0	23	18 18					btcharcmp			
